From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
G5EBQ8	G5EBQ8	reviewed	CHS2_CAEEL	Chitin synthase chs-2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase chs-2)	chs-2 F48A11.1	Caenorhabditis elegans	1668	GO:0004100; GO:0005886; GO:0006031; GO:0006038; GO:0030428; GO:0061063; GO:0071944	cell wall chitin biosynthetic process [GO:0006038]; chitin biosynthetic process [GO:0006031]; positive regulation of nematode larval development [GO:0061063]	cell periphery [GO:0071944]; cell septum [GO:0030428]; plasma membrane [GO:0005886]; chitin synthase activity [GO:0004100]; cell wall chitin biosynthetic process [GO:0006038]; chitin biosynthetic process [GO:0006031]; positive regulation of nematode larval development [GO:0061063]	chitin synthase activity [GO:0004100]	cell periphery [GO:0071944]; cell septum [GO:0030428]; plasma membrane [GO:0005886]
P31422	P31422	reviewed	GRM3_RAT	Metabotropic glutamate receptor 3 (mGluR3)	Grm3 Gprc1c Mglur3	Rattus norvegicus (Rat)	879	GO:0001641; GO:0005246; GO:0005886; GO:0007216; GO:0010467; GO:0014069; GO:0019233; GO:0030424; GO:0042734; GO:0043005; GO:0043197; GO:0045211; GO:0050804; GO:0051966; GO:0097110; GO:0097449; GO:0098978; GO:0099170	G protein-coupled glutamate receptor signaling pathway [GO:0007216]; gene expression [GO:0010467]; modulation of chemical synaptic transmission [GO:0050804]; postsynaptic modulation of chemical synaptic transmission [GO:0099170]; regulation of synaptic transmission, glutamatergic [GO:0051966]; sensory perception of pain [GO:0019233]	astrocyte projection [GO:0097449]; axon [GO:0030424]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734]; calcium channel regulator activity [GO:0005246]; group II metabotropic glutamate receptor activity [GO:0001641]; scaffold protein binding [GO:0097110]; G protein-coupled glutamate receptor signaling pathway [GO:0007216]; gene expression [GO:0010467]; modulation of chemical synaptic transmission [GO:0050804]; postsynaptic modulation of chemical synaptic transmission [GO:0099170]; regulation of synaptic transmission, glutamatergic [GO:0051966]; sensory perception of pain [GO:0019233]	calcium channel regulator activity [GO:0005246]; group II metabotropic glutamate receptor activity [GO:0001641]; scaffold protein binding [GO:0097110]	astrocyte projection [GO:0097449]; axon [GO:0030424]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734]
Q8R0F5	Q8R0F5	reviewed	RBMX2_MOUSE	RNA-binding motif protein, X-linked 2	Rbmx2	Mus musculus (Mouse)	326	GO:0000398; GO:0003723; GO:0005634; GO:0005686; GO:0005730; GO:0005783; GO:0031965; GO:0071005; GO:0071011	mRNA splicing, via spliceosome [GO:0000398]	endoplasmic reticulum [GO:0005783]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleus [GO:0005634]; precatalytic spliceosome [GO:0071011]; U2 snRNP [GO:0005686]; U2-type precatalytic spliceosome [GO:0071005]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]	RNA binding [GO:0003723]	endoplasmic reticulum [GO:0005783]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleus [GO:0005634]; precatalytic spliceosome [GO:0071011]; U2 snRNP [GO:0005686]; U2-type precatalytic spliceosome [GO:0071005]
Q5C9Z4	Q5C9Z4	reviewed	NOM1_HUMAN	Nucleolar MIF4G domain-containing protein 1 (SGD1 homolog)	NOM1 C7orf3	Homo sapiens (Human)	860	GO:0003723; GO:0005730; GO:0042274; GO:0048820	hair follicle maturation [GO:0048820]; ribosomal small subunit biogenesis [GO:0042274]	nucleolus [GO:0005730]; RNA binding [GO:0003723]; hair follicle maturation [GO:0048820]; ribosomal small subunit biogenesis [GO:0042274]	RNA binding [GO:0003723]	nucleolus [GO:0005730]
Q32KX7	Q32KX7	reviewed	BMI1_BOVIN	Polycomb complex protein BMI-1 (Polycomb group RING finger protein 4)	BMI1 PCGF4	Bos taurus (Bovine)	326	GO:0000122; GO:0000151; GO:0000792; GO:0000978; GO:0001701; GO:0005829; GO:0006306; GO:0006338; GO:0006959; GO:0007420; GO:0008270; GO:0016604; GO:0021903; GO:0030097; GO:0030890; GO:0031519; GO:0033092; GO:0035102; GO:0045814; GO:0048103; GO:0048146; GO:0048704; GO:0051443; GO:0071535; GO:0097027; GO:0097190; GO:1990841; GO:2000011; GO:2001234	apoptotic signaling pathway [GO:0097190]; brain development [GO:0007420]; chromatin remodeling [GO:0006338]; DNA methylation [GO:0006306]; embryonic skeletal system morphogenesis [GO:0048704]; hemopoiesis [GO:0030097]; humoral immune response [GO:0006959]; in utero embryonic development [GO:0001701]; negative regulation of apoptotic signaling pathway [GO:2001234]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of immature T cell proliferation in thymus [GO:0033092]; positive regulation of ubiquitin-protein transferase activity [GO:0051443]; regulation of adaxial/abaxial pattern formation [GO:2000011]; rostrocaudal neural tube patterning [GO:0021903]; somatic stem cell division [GO:0048103]	cytosol [GO:0005829]; heterochromatin [GO:0000792]; nuclear body [GO:0016604]; PcG protein complex [GO:0031519]; PRC1 complex [GO:0035102]; ubiquitin ligase complex [GO:0000151]; promoter-specific chromatin binding [GO:1990841]; RING-like zinc finger domain binding [GO:0071535]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; ubiquitin-protein transferase activator activity [GO:0097027]; zinc ion binding [GO:0008270]; apoptotic signaling pathway [GO:0097190]; brain development [GO:0007420]; chromatin remodeling [GO:0006338]; DNA methylation [GO:0006306]; embryonic skeletal system morphogenesis [GO:0048704]; hemopoiesis [GO:0030097]; humoral immune response [GO:0006959]; in utero embryonic development [GO:0001701]; negative regulation of apoptotic signaling pathway [GO:2001234]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of immature T cell proliferation in thymus [GO:0033092]; positive regulation of ubiquitin-protein transferase activity [GO:0051443]; regulation of adaxial/abaxial pattern formation [GO:2000011]; rostrocaudal neural tube patterning [GO:0021903]; somatic stem cell division [GO:0048103]	promoter-specific chromatin binding [GO:1990841]; RING-like zinc finger domain binding [GO:0071535]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; ubiquitin-protein transferase activator activity [GO:0097027]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]; heterochromatin [GO:0000792]; nuclear body [GO:0016604]; PcG protein complex [GO:0031519]; PRC1 complex [GO:0035102]; ubiquitin ligase complex [GO:0000151]
Q8VDC1	Q8VDC1	reviewed	FYCO1_MOUSE	FYVE and coiled-coil domain-containing protein 1	Fyco1	Mus musculus (Mouse)	1437	GO:0005764; GO:0005770; GO:0005776; GO:0005794; GO:0043231; GO:0046872; GO:0072383; GO:1901098	plus-end-directed vesicle transport along microtubule [GO:0072383]; positive regulation of autophagosome maturation [GO:1901098]	autophagosome [GO:0005776]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; late endosome [GO:0005770]; lysosome [GO:0005764]; metal ion binding [GO:0046872]; plus-end-directed vesicle transport along microtubule [GO:0072383]; positive regulation of autophagosome maturation [GO:1901098]	metal ion binding [GO:0046872]	autophagosome [GO:0005776]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; late endosome [GO:0005770]; lysosome [GO:0005764]
Q9C0G0	Q9C0G0	reviewed	ZN407_HUMAN	Zinc finger protein 407	ZNF407 KIAA1703	Homo sapiens (Human)	2248	GO:0003677; GO:0005634; GO:0008270; GO:0045944	positive regulation of transcription by RNA polymerase II [GO:0045944]	nucleus [GO:0005634]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]; positive regulation of transcription by RNA polymerase II [GO:0045944]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]
Q9Z280	Q9Z280	reviewed	PLD1_MOUSE	Phospholipase D1 (PLD 1) (mPLD1) (EC 3.1.4.4) (Choline phosphatase 1) (Phosphatidylcholine-hydrolyzing phospholipase D1)	Pld1	Mus musculus (Mouse)	1074	GO:0000139; GO:0004630; GO:0005768; GO:0005789; GO:0005794; GO:0006654; GO:0008654; GO:0009395; GO:0016324; GO:0030027; GO:0030139; GO:0030335; GO:0031670; GO:0031902; GO:0031982; GO:0031985; GO:0032534; GO:0035091; GO:0035556; GO:0043231; GO:0043434; GO:0045202; GO:0045727; GO:0048471; GO:0050830; GO:0060627; GO:0070290; GO:0098693; GO:0098981	cellular response to nutrient [GO:0031670]; defense response to Gram-positive bacterium [GO:0050830]; intracellular signal transduction [GO:0035556]; phosphatidic acid biosynthetic process [GO:0006654]; phospholipid biosynthetic process [GO:0008654]; phospholipid catabolic process [GO:0009395]; positive regulation of cell migration [GO:0030335]; positive regulation of translation [GO:0045727]; regulation of microvillus assembly [GO:0032534]; regulation of synaptic vesicle cycle [GO:0098693]; regulation of vesicle-mediated transport [GO:0060627]; response to peptide hormone [GO:0043434]	apical plasma membrane [GO:0016324]; cholinergic synapse [GO:0098981]; endocytic vesicle [GO:0030139]; endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; Golgi apparatus [GO:0005794]; Golgi cisterna [GO:0031985]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; lamellipodium [GO:0030027]; late endosome membrane [GO:0031902]; perinuclear region of cytoplasm [GO:0048471]; synapse [GO:0045202]; vesicle [GO:0031982]; N-acylphosphatidylethanolamine-specific phospholipase D activity [GO:0070290]; phosphatidylinositol binding [GO:0035091]; phospholipase D activity [GO:0004630]; cellular response to nutrient [GO:0031670]; defense response to Gram-positive bacterium [GO:0050830]; intracellular signal transduction [GO:0035556]; phosphatidic acid biosynthetic process [GO:0006654]; phospholipid biosynthetic process [GO:0008654]; phospholipid catabolic process [GO:0009395]; positive regulation of cell migration [GO:0030335]; positive regulation of translation [GO:0045727]; regulation of microvillus assembly [GO:0032534]; regulation of synaptic vesicle cycle [GO:0098693]; regulation of vesicle-mediated transport [GO:0060627]; response to peptide hormone [GO:0043434]	N-acylphosphatidylethanolamine-specific phospholipase D activity [GO:0070290]; phosphatidylinositol binding [GO:0035091]; phospholipase D activity [GO:0004630]	apical plasma membrane [GO:0016324]; cholinergic synapse [GO:0098981]; endocytic vesicle [GO:0030139]; endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; Golgi apparatus [GO:0005794]; Golgi cisterna [GO:0031985]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; lamellipodium [GO:0030027]; late endosome membrane [GO:0031902]; perinuclear region of cytoplasm [GO:0048471]; synapse [GO:0045202]; vesicle [GO:0031982]
P25455	P25455	reviewed	PIP1_DROME	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II (EC 3.1.4.11) (Phosphoinositide phospholipase C)	Plc21C plc-21 CG4574	Drosophila melanogaster (Fruit fly)	1318	GO:0004435; GO:0005509; GO:0007629; GO:0016042; GO:0043153; GO:0048015; GO:0051209; GO:0070050; GO:1900073	entrainment of circadian clock by photoperiod [GO:0043153]; flight behavior [GO:0007629]; lipid catabolic process [GO:0016042]; neuron cellular homeostasis [GO:0070050]; phosphatidylinositol-mediated signaling [GO:0048015]; regulation of neuromuscular synaptic transmission [GO:1900073]; release of sequestered calcium ion into cytosol [GO:0051209]	calcium ion binding [GO:0005509]; phosphatidylinositol phospholipase C activity [GO:0004435]; entrainment of circadian clock by photoperiod [GO:0043153]; flight behavior [GO:0007629]; lipid catabolic process [GO:0016042]; neuron cellular homeostasis [GO:0070050]; phosphatidylinositol-mediated signaling [GO:0048015]; regulation of neuromuscular synaptic transmission [GO:1900073]; release of sequestered calcium ion into cytosol [GO:0051209]	calcium ion binding [GO:0005509]; phosphatidylinositol phospholipase C activity [GO:0004435]	
Q01970	Q01970	reviewed	PLCB3_HUMAN	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 (EC 3.1.4.11) (Phosphoinositide phospholipase C-beta-3) (Phospholipase C-beta-3) (PLC-beta-3)	PLCB3	Homo sapiens (Human)	1234	GO:0003073; GO:0004435; GO:0004629; GO:0005509; GO:0005516; GO:0005634; GO:0005829; GO:0007186; GO:0016020; GO:0016042; GO:0032991; GO:0045296; GO:0046488; GO:0048015; GO:0051209; GO:0060090; GO:0099524; GO:0140677	G protein-coupled receptor signaling pathway [GO:0007186]; lipid catabolic process [GO:0016042]; phosphatidylinositol metabolic process [GO:0046488]; phosphatidylinositol-mediated signaling [GO:0048015]; regulation of systemic arterial blood pressure [GO:0003073]; release of sequestered calcium ion into cytosol [GO:0051209]	cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; postsynaptic cytosol [GO:0099524]; protein-containing complex [GO:0032991]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; molecular adaptor activity [GO:0060090]; molecular function activator activity [GO:0140677]; phosphatidylinositol phospholipase C activity [GO:0004435]; phospholipase C activity [GO:0004629]; G protein-coupled receptor signaling pathway [GO:0007186]; lipid catabolic process [GO:0016042]; phosphatidylinositol metabolic process [GO:0046488]; phosphatidylinositol-mediated signaling [GO:0048015]; regulation of systemic arterial blood pressure [GO:0003073]; release of sequestered calcium ion into cytosol [GO:0051209]	cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; molecular adaptor activity [GO:0060090]; molecular function activator activity [GO:0140677]; phosphatidylinositol phospholipase C activity [GO:0004435]; phospholipase C activity [GO:0004629]	cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; postsynaptic cytosol [GO:0099524]; protein-containing complex [GO:0032991]
Q15147	Q15147	reviewed	PLCB4_HUMAN	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4 (EC 3.1.4.11) (Phosphoinositide phospholipase C-beta-4) (Phospholipase C-beta-4) (PLC-beta-4)	PLCB4	Homo sapiens (Human)	1175	GO:0004435; GO:0004629; GO:0005509; GO:0005829; GO:0007186; GO:0016042; GO:0048015; GO:0051209	G protein-coupled receptor signaling pathway [GO:0007186]; lipid catabolic process [GO:0016042]; phosphatidylinositol-mediated signaling [GO:0048015]; release of sequestered calcium ion into cytosol [GO:0051209]	cytosol [GO:0005829]; calcium ion binding [GO:0005509]; phosphatidylinositol phospholipase C activity [GO:0004435]; phospholipase C activity [GO:0004629]; G protein-coupled receptor signaling pathway [GO:0007186]; lipid catabolic process [GO:0016042]; phosphatidylinositol-mediated signaling [GO:0048015]; release of sequestered calcium ion into cytosol [GO:0051209]	calcium ion binding [GO:0005509]; phosphatidylinositol phospholipase C activity [GO:0004435]; phospholipase C activity [GO:0004629]	cytosol [GO:0005829]
Q24740	Q24740	reviewed	CDC37_DROVI	Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit)	Cdc37 GJ12421	Drosophila virilis (Fruit fly)	399	GO:0002052; GO:0005158; GO:0005737; GO:0019901; GO:0046628	positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of neuroblast proliferation [GO:0002052]	cytoplasm [GO:0005737]; insulin receptor binding [GO:0005158]; protein kinase binding [GO:0019901]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of neuroblast proliferation [GO:0002052]	insulin receptor binding [GO:0005158]; protein kinase binding [GO:0019901]	cytoplasm [GO:0005737]
P55205	P55205	reviewed	GUC2G_RAT	Guanylate cyclase 2G (EC 4.6.1.2) (Guanylyl cyclase receptor G) (GC-G) (Kinase-like domain-containing soluble guanylyl cyclase) (ksGC)	Gucy2g Ksgc	Rattus norvegicus (Rat)	1100	GO:0001653; GO:0004016; GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005737; GO:0005886; GO:0006182; GO:0007168; GO:0035556	cGMP biosynthetic process [GO:0006182]; intracellular signal transduction [GO:0035556]; receptor guanylyl cyclase signaling pathway [GO:0007168]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; guanylate cyclase activity [GO:0004383]; peptide receptor activity [GO:0001653]; protein kinase activity [GO:0004672]; cGMP biosynthetic process [GO:0006182]; intracellular signal transduction [GO:0035556]; receptor guanylyl cyclase signaling pathway [GO:0007168]	adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; guanylate cyclase activity [GO:0004383]; peptide receptor activity [GO:0001653]; protein kinase activity [GO:0004672]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
A3KG59	A3KG59	reviewed	P20D2_MOUSE	Xaa-Arg dipeptidase (EC 3.4.13.4)	Pm20d2 Acy1l2 Gm424	Mus musculus (Mouse)	431	GO:0004180; GO:0005654; GO:0006508; GO:0016805; GO:0042802; GO:0051246	proteolysis [GO:0006508]; regulation of protein metabolic process [GO:0051246]	nucleoplasm [GO:0005654]; carboxypeptidase activity [GO:0004180]; dipeptidase activity [GO:0016805]; identical protein binding [GO:0042802]; proteolysis [GO:0006508]; regulation of protein metabolic process [GO:0051246]	carboxypeptidase activity [GO:0004180]; dipeptidase activity [GO:0016805]; identical protein binding [GO:0042802]	nucleoplasm [GO:0005654]
O62640	O62640	reviewed	PIAP_PIG	Putative inhibitor of apoptosis	PIAP	Sus scrofa (Pig)	358	GO:0005634; GO:0005737; GO:0006915; GO:0031398; GO:0043027; GO:0043066; GO:0046872; GO:0051726; GO:0060546; GO:0061630	apoptotic process [GO:0006915]; negative regulation of apoptotic process [GO:0043066]; negative regulation of necroptotic process [GO:0060546]; positive regulation of protein ubiquitination [GO:0031398]; regulation of cell cycle [GO:0051726]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; apoptotic process [GO:0006915]; negative regulation of apoptotic process [GO:0043066]; negative regulation of necroptotic process [GO:0060546]; positive regulation of protein ubiquitination [GO:0031398]; regulation of cell cycle [GO:0051726]	cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
O35379	O35379	reviewed	MRP1_MOUSE	Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)	Abcc1 Abcc1a Abcc1b Mdrap Mrp	Mus musculus (Mouse)	1528	GO:0005324; GO:0005524; GO:0005886; GO:0006979; GO:0008559; GO:0009410; GO:0009925; GO:0010001; GO:0015420; GO:0015431; GO:0015562; GO:0015889; GO:0015911; GO:0016323; GO:0016324; GO:0016328; GO:0016887; GO:0030335; GO:0033700; GO:0034040; GO:0034634; GO:0034775; GO:0042887; GO:0042908; GO:0042910; GO:0045332; GO:0046943; GO:0048708; GO:0050729; GO:0055085; GO:0060326; GO:0070633; GO:0070729; GO:0071716; GO:0099039; GO:0140115; GO:0140359; GO:1904646; GO:1905039; GO:1990961; GO:1990962; GO:2001038	astrocyte differentiation [GO:0048708]; carboxylic acid transmembrane transport [GO:1905039]; cell chemotaxis [GO:0060326]; cellular response to amyloid-beta [GO:1904646]; cobalamin transport [GO:0015889]; cyclic nucleotide transport [GO:0070729]; export across plasma membrane [GO:0140115]; glial cell differentiation [GO:0010001]; glutathione transmembrane transport [GO:0034775]; leukotriene transport [GO:0071716]; long-chain fatty acid import across plasma membrane [GO:0015911]; phospholipid efflux [GO:0033700]; phospholipid translocation [GO:0045332]; positive regulation of cell migration [GO:0030335]; positive regulation of inflammatory response [GO:0050729]; regulation of cellular response to drug [GO:2001038]; response to oxidative stress [GO:0006979]; response to xenobiotic stimulus [GO:0009410]; sphingolipid translocation [GO:0099039]; transepithelial transport [GO:0070633]; transmembrane transport [GO:0055085]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]; xenobiotic transport [GO:0042908]; xenobiotic transport across blood-brain barrier [GO:1990962]	apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; basolateral plasma membrane [GO:0016323]; lateral plasma membrane [GO:0016328]; plasma membrane [GO:0005886]; ABC-type glutathione S-conjugate transporter activity [GO:0015431]; ABC-type transporter activity [GO:0140359]; ABC-type vitamin B12 transporter activity [GO:0015420]; ABC-type xenobiotic transporter activity [GO:0008559]; amide transmembrane transporter activity [GO:0042887]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]; carboxylic acid transmembrane transporter activity [GO:0046943]; efflux transmembrane transporter activity [GO:0015562]; glutathione transmembrane transporter activity [GO:0034634]; long-chain fatty acid transporter activity [GO:0005324]; xenobiotic transmembrane transporter activity [GO:0042910]; astrocyte differentiation [GO:0048708]; carboxylic acid transmembrane transport [GO:1905039]; cell chemotaxis [GO:0060326]; cellular response to amyloid-beta [GO:1904646]; cobalamin transport [GO:0015889]; cyclic nucleotide transport [GO:0070729]; export across plasma membrane [GO:0140115]; glial cell differentiation [GO:0010001]; glutathione transmembrane transport [GO:0034775]; leukotriene transport [GO:0071716]; long-chain fatty acid import across plasma membrane [GO:0015911]; phospholipid efflux [GO:0033700]; phospholipid translocation [GO:0045332]; positive regulation of cell migration [GO:0030335]; positive regulation of inflammatory response [GO:0050729]; regulation of cellular response to drug [GO:2001038]; response to oxidative stress [GO:0006979]; response to xenobiotic stimulus [GO:0009410]; sphingolipid translocation [GO:0099039]; transepithelial transport [GO:0070633]; transmembrane transport [GO:0055085]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]; xenobiotic transport [GO:0042908]; xenobiotic transport across blood-brain barrier [GO:1990962]	ABC-type glutathione S-conjugate transporter activity [GO:0015431]; ABC-type transporter activity [GO:0140359]; ABC-type vitamin B12 transporter activity [GO:0015420]; ABC-type xenobiotic transporter activity [GO:0008559]; amide transmembrane transporter activity [GO:0042887]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled lipid transmembrane transporter activity [GO:0034040]; carboxylic acid transmembrane transporter activity [GO:0046943]; efflux transmembrane transporter activity [GO:0015562]; glutathione transmembrane transporter activity [GO:0034634]; long-chain fatty acid transporter activity [GO:0005324]; xenobiotic transmembrane transporter activity [GO:0042910]	apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; basolateral plasma membrane [GO:0016323]; lateral plasma membrane [GO:0016328]; plasma membrane [GO:0005886]
D3ZQL6	D3ZQL6	reviewed	MILK1_RAT	MICAL-like protein 1	Micall1	Rattus norvegicus (Rat)	855	GO:0005770; GO:0006612; GO:0006897; GO:0006898; GO:0010008; GO:0010009; GO:0015031; GO:0031175; GO:0031267; GO:0031902; GO:0032456; GO:0032458; GO:0036010; GO:0042802; GO:0046872; GO:0055038; GO:0070300; GO:0097320; GO:1990090	cellular response to nerve growth factor stimulus [GO:1990090]; endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; neuron projection development [GO:0031175]; plasma membrane tubulation [GO:0097320]; protein localization to endosome [GO:0036010]; protein targeting to membrane [GO:0006612]; protein transport [GO:0015031]; receptor-mediated endocytosis [GO:0006898]; slow endocytic recycling [GO:0032458]	cytoplasmic side of endosome membrane [GO:0010009]; endosome membrane [GO:0010008]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; recycling endosome membrane [GO:0055038]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; phosphatidic acid binding [GO:0070300]; small GTPase binding [GO:0031267]; cellular response to nerve growth factor stimulus [GO:1990090]; endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; neuron projection development [GO:0031175]; plasma membrane tubulation [GO:0097320]; protein localization to endosome [GO:0036010]; protein targeting to membrane [GO:0006612]; protein transport [GO:0015031]; receptor-mediated endocytosis [GO:0006898]; slow endocytic recycling [GO:0032458]	identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; phosphatidic acid binding [GO:0070300]; small GTPase binding [GO:0031267]	cytoplasmic side of endosome membrane [GO:0010009]; endosome membrane [GO:0010008]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; recycling endosome membrane [GO:0055038]
